dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
07/03/2022,7,3,2022,105259,10,Germany,DE,DEU,83166711,Europe
06/03/2022,6,3,2022,69925,6,Germany,DE,DEU,83166711,Europe
05/03/2022,5,3,2022,113421,4,Germany,DE,DEU,83166711,Europe
04/03/2022,4,3,2022,183199,16,Germany,DE,DEU,83166711,Europe
03/03/2022,3,3,2022,207841,31,Germany,DE,DEU,83166711,Europe
02/03/2022,2,3,2022,203005,44,Germany,DE,DEU,83166711,Europe
01/03/2022,1,3,2022,192361,55,Germany,DE,DEU,83166711,Europe
28/02/2022,28,2,2022,127071,62,Germany,DE,DEU,83166711,Europe
27/02/2022,27,2,2022,55019,18,Germany,DE,DEU,83166711,Europe
26/02/2022,26,2,2022,108152,36,Germany,DE,DEU,83166711,Europe
25/02/2022,25,2,2022,170980,58,Germany,DE,DEU,83166711,Europe
24/02/2022,24,2,2022,189467,95,Germany,DE,DEU,83166711,Europe
23/02/2022,23,2,2022,207878,120,Germany,DE,DEU,83166711,Europe
22/02/2022,22,2,2022,217886,108,Germany,DE,DEU,83166711,Europe
21/02/2022,21,2,2022,138727,117,Germany,DE,DEU,83166711,Europe
20/02/2022,20,2,2022,63813,50,Germany,DE,DEU,83166711,Europe
19/02/2022,19,2,2022,118983,89,Germany,DE,DEU,83166711,Europe
18/02/2022,18,2,2022,178003,146,Germany,DE,DEU,83166711,Europe
17/02/2022,17,2,2022,212515,159,Germany,DE,DEU,83166711,Europe
16/02/2022,16,2,2022,229446,185,Germany,DE,DEU,83166711,Europe
15/02/2022,15,2,2022,228427,167,Germany,DE,DEU,83166711,Europe
14/02/2022,14,2,2022,157967,156,Germany,DE,DEU,83166711,Europe
13/02/2022,13,2,2022,73749,74,Germany,DE,DEU,83166711,Europe
12/02/2022,12,2,2022,121311,103,Germany,DE,DEU,83166711,Europe
11/02/2022,11,2,2022,205644,168,Germany,DE,DEU,83166711,Europe
10/02/2022,10,2,2022,229522,202,Germany,DE,DEU,83166711,Europe
09/02/2022,9,2,2022,247164,203,Germany,DE,DEU,83166711,Europe
